1	-3	1	-2
2	-2	1	-2
3	-1	1	-2
4	0	1	-2
5	1	1	-2
6	2	1	-2
7	3	1	-2
8	-3	0	-2
9	-2	0	-2
10	-1	0	-2
11	0	0	-2
12	1	0	-2
13	2	0	-2
14	3	0	-2
15	-3	1	-1
16	-2	1	-1
17	-1	1	-1
18	0	1	-1
19	1	1	-1
20	2	1	-1
21	3	1	-1
22	-3	0	-1
23	-2	0	-1
24	-1	0	-1
25	0	0	-1
26	1	0	-1
27	2	0	-1
28	3	0	-1
29	-3	1	0
30	-2	1	0
31	-1	1	0
32	0	1	0
33	1	1	0
34	2	1	0
35	3	1	0
36	-3	0	0
37	-2	0	0
38	-1	0	0
39	0	0	0
40	1	0	0
41	2	0	0
42	3	0	0
43	-3	1	1
44	-2	1	1
45	-1	1	1
46	0	1	1
47	1	1	1
48	2	1	1
49	3	1	1
50	-3	0	1
51	-2	0	1
52	-1	0	1
53	0	0	1
54	1	0	1
55	2	0	1
56	3	0	1
57	-3	1	2
58	-2	1	2
59	-1	1	2
60	0	1	2
61	1	1	2
62	2	1	2
63	3	1	2
64	-3	0	2
65	-2	0	2
66	-1	0	2
67	0	0	2
68	1	0	2
69	2	0	2
70	3	0	2
